x,y
0.40993596,-0.42832059
0.40979866,-0.42839171
0.40966134,-0.42846279
0.40952402,-0.42853383
0.40938668,-0.42860484
0.40924933,-0.42867581
0.40911197,-0.42874675
0.40897460,-0.42881765
0.40883721,-0.42888852
0.40869982,-0.42895935
0.40856241,-0.42903014
0.40842500,-0.42910091
0.40828757,-0.42917163
0.40815013,-0.42924232
0.40801268,-0.42931298
0.40787522,-0.42938360
0.40773775,-0.42945418
0.40760026,-0.42952473
0.40746277,-0.42959525
0.40732526,-0.42966573
0.40718775,-0.42973617
0.40705022,-0.42980658
0.40691268,-0.42987696
0.40677513,-0.42994730
0.40663757,-0.43001760
0.40649999,-0.43008787
0.40636241,-0.43015810
0.40622482,-0.43022830
0.40608721,-0.43029846
0.40594959,-0.43036859
0.40581196,-0.43043869
0.40567432,-0.43050874
0.40553667,-0.43057877
0.40539901,-0.43064875
0.40526134,-0.43071870
0.40512365,-0.43078862
0.40498596,-0.43085850
0.40484825,-0.43092835
0.40471053,-0.43099816
0.40457280,-0.43106794
0.40443506,-0.43113768
0.40429731,-0.43120738
0.40415955,-0.43127705
0.40402177,-0.43134669
0.40388399,-0.43141629
0.40374619,-0.43148586
0.40360838,-0.43155539
0.40347056,-0.43162488
0.40333273,-0.43169434
0.40319489,-0.43176376
0.40305704,-0.43183315
0.40291918,-0.43190251
0.40278130,-0.43197183
0.40264342,-0.43204111
0.40250552,-0.43211036
0.40236761,-0.43217957
0.40222969,-0.43224875
0.40209176,-0.43231789
0.40195382,-0.43238700
0.40181587,-0.43245607
0.40167790,-0.43252511
0.40153993,-0.43259411
0.40140194,-0.43266308
0.40126394,-0.43273201
0.40112593,-0.43280090
0.40098791,-0.43286977
0.40084988,-0.43293859
0.40071184,-0.43300738
0.40057379,-0.43307614
0.40043572,-0.43314486
0.40029765,-0.43321354
0.40015956,-0.43328219
0.40002146,-0.43335081
0.39988335,-0.43341939
0.39974523,-0.43348793
0.39960710,-0.43355644
0.39946896,-0.43362492
0.39933080,-0.43369336
0.39919264,-0.43376176
0.39905446,-0.43383013
0.39891627,-0.43389846
0.39877807,-0.43396676
0.39863986,-0.43403502
0.39850164,-0.43410325
0.39836341,-0.43417144
0.39822517,-0.43423960
0.39808691,-0.43430772
0.39794865,-0.43437581
0.39781037,-0.43444386
0.39767208,-0.43451188
0.39753378,-0.43457986
0.39739547,-0.43464781
0.39725715,-0.43471572
0.39711882,-0.43478360
0.39698047,-0.43485144
0.39684212,-0.43491924
0.39670375,-0.43498701
0.39656537,-0.43505475
0.39642699,-0.43512245
0.39628859,-0.43519011
0.39615017,-0.43525774
0.39601175,-0.43532534
0.39587332,-0.43539290
0.39573487,-0.43546042
0.39559642,-0.43552791
0.39545795,-0.43559536
0.39531947,-0.43566278
0.39518098,-0.43573017
0.39504248,-0.43579751
0.39490397,-0.43586483
0.39476545,-0.43593210
0.39462691,-0.43599935
0.39448837,-0.43606655
0.39434981,-0.43613373
0.39421124,-0.43620086
0.39407267,-0.43626797
0.39393408,-0.43633503
0.39379547,-0.43640206
0.39365686,-0.43646906
0.39351824,-0.43653602
0.39337960,-0.43660295
0.39324096,-0.43666984
0.39310230,-0.43673669
0.39296363,-0.43680351
0.39282495,-0.43687030
0.39268626,-0.43693705
0.39254756,-0.43700376
0.39240885,-0.43707044
0.39227012,-0.43713709
0.39213139,-0.43720370
0.39199264,-0.43727027
0.39185388,-0.43733681
0.39171512,-0.43740331
0.39157634,-0.43746978
0.39143754,-0.43753622
0.39129874,-0.43760261
0.39115993,-0.43766898
0.39102110,-0.43773531
0.39088227,-0.43780160
0.39074342,-0.43786786
0.39060456,-0.43793408
0.39046569,-0.43800026
0.39032681,-0.43806642
0.39018792,-0.43813253
0.39004902,-0.43819861
0.38991010,-0.43826466
0.38977118,-0.43833067
0.38963224,-0.43839665
0.38949329,-0.43846259
0.38935434,-0.43852849
0.38921537,-0.43859436
0.38907638,-0.43866020
0.38893739,-0.43872600
0.38879839,-0.43879176
0.38865937,-0.43885749
0.38852035,-0.43892319
0.38838131,-0.43898885
0.38824226,-0.43905447
0.38810320,-0.43912006
0.38796413,-0.43918561
0.38782505,-0.43925113
0.38768596,-0.43931662
0.38754685,-0.43938206
0.38740774,-0.43944748
0.38726861,-0.43951286
0.38712947,-0.43957820
0.38699033,-0.43964351
0.38685116,-0.43970878
0.38671199,-0.43977401
0.38657281,-0.43983922
0.38643362,-0.43990438
0.38629441,-0.43996951
0.38615520,-0.44003461
0.38601597,-0.44009967
0.38587673,-0.44016470
0.38573748,-0.44022969
0.38559822,-0.44029464
0.38545895,-0.44035956
0.38531967,-0.44042445
0.38518037,-0.44048930
0.38504107,-0.44055411
0.38490175,-0.44061889
0.38476242,-0.44068364
0.38462308,-0.44074835
0.38448373,-0.44081302
0.38434437,-0.44087766
0.38420500,-0.44094226
0.38406562,-0.44100683
0.38392622,-0.44107137
0.38378682,-0.44113586
0.38364740,-0.44120033
0.38350797,-0.44126475
0.38336853,-0.44132915
0.38322908,-0.44139350
0.38308962,-0.44145783
0.38295015,-0.44152211
0.38281066,-0.44158636
0.38267117,-0.44165058
0.38253166,-0.44171476
0.38239214,-0.44177891
0.38225261,-0.44184302
0.38211307,-0.44190710
0.38197352,-0.44197114
0.38183396,-0.44203514
0.38169439,-0.44209911
0.38155480,-0.44216305
0.38141521,-0.44222695
0.38127560,-0.44229081
0.38113598,-0.44235464
0.38099635,-0.44241844
0.38085671,-0.44248219
0.38071706,-0.44254592
0.38057740,-0.44260961
0.38043772,-0.44267326
0.38029804,-0.44273688
0.38015834,-0.44280046
0.38001863,-0.44286401
0.37987891,-0.44292752
0.37973918,-0.44299100
0.37959944,-0.44305444
0.37945969,-0.44311785
0.37931993,-0.44318122
0.37918015,-0.44324456
0.37904037,-0.44330786
0.37890057,-0.44337113
0.37876076,-0.44343436
0.37862094,-0.44349756
0.37848111,-0.44356072
0.37834127,-0.44362384
0.37820141,-0.44368693
0.37806155,-0.44374999
0.37792168,-0.44381301
0.37778179,-0.44387599
0.37764189,-0.44393894
0.37750198,-0.44400186
0.37736206,-0.44406474
0.37722213,-0.44412758
0.37708219,-0.44419039
0.37694223,-0.44425316
0.37680227,-0.44431590
0.37666229,-0.44437861
0.37652231,-0.44444128
0.37638231,-0.44450391
0.37624230,-0.44456651
0.37610228,-0.44462907
0.37596225,-0.44469160
0.37582220,-0.44475409
0.37568215,-0.44481655
0.37554208,-0.44487897
0.37540201,-0.44494136
0.37526192,-0.44500371
0.37512182,-0.44506602
0.37498171,-0.44512830
0.37484159,-0.44519055
0.37470146,-0.44525276
0.37456131,-0.44531494
0.37442116,-0.44537708
0.37428099,-0.44543918
0.37414082,-0.44550125
0.37400063,-0.44556329
0.37386043,-0.44562529
0.37372022,-0.44568725
0.37358000,-0.44574918
0.37343976,-0.44581108
0.37329952,-0.44587294
0.37315926,-0.44593476
0.37301900,-0.44599655
0.37287872,-0.44605830
0.37273843,-0.44612002
0.37259813,-0.44618170
0.37245782,-0.44624335
0.37231750,-0.44630496
0.37217716,-0.44636654
0.37203682,-0.44642808
0.37189646,-0.44648959
0.37175609,-0.44655106
0.37161572,-0.44661250
0.37147533,-0.44667390
0.37133493,-0.44673527
0.37119451,-0.44679660
0.37105409,-0.44685789
0.37091366,-0.44691916
0.37077321,-0.44698038
0.37063275,-0.44704157
0.37049229,-0.44710273
0.37035181,-0.44716385
0.37021132,-0.44722493
0.37007082,-0.44728598
0.36993030,-0.44734700
0.36978978,-0.44740798
0.36964925,-0.44746892
0.36950870,-0.44752983
0.36936814,-0.44759070
0.36922757,-0.44765154
0.36908699,-0.44771234
0.36894640,-0.44777311
0.36880580,-0.44783385
0.36866519,-0.44789454
0.36852457,-0.44795521
0.36838393,-0.44801583
0.36824328,-0.44807643
0.36810263,-0.44813698
0.36796196,-0.44819751
0.36782128,-0.44825799
0.36768058,-0.44831844
0.36753988,-0.44837886
0.36739917,-0.44843924
0.36725844,-0.44849959
0.36711771,-0.44855990
0.36697696,-0.44862017
0.36683620,-0.44868041
0.36669543,-0.44874062
0.36655465,-0.44880079
0.36641386,-0.44886092
0.36627306,-0.44892102
0.36613224,-0.44898109
0.36599142,-0.44904112
0.36585058,-0.44910111
0.36570973,-0.44916107
0.36556887,-0.44922099
0.36542800,-0.44928088
0.36528712,-0.44934074
0.36514623,-0.44940055
0.36500533,-0.44946034
0.36486441,-0.44952009
0.36472349,-0.44957980
0.36458255,-0.44963948
0.36444160,-0.44969912
0.36430064,-0.44975873
0.36415967,-0.44981830
0.36401869,-0.44987783
0.36387770,-0.44993734
0.36373669,-0.44999680
0.36359568,-0.45005623
0.36345465,-0.45011563
0.36331361,-0.45017499
0.36317256,-0.45023431
0.36303150,-0.45029361
0.36289043,-0.45035286
0.36274935,-0.45041208
0.36260825,-0.45047127
0.36246715,-0.45053041
0.36232603,-0.45058953
0.36218491,-0.45064861
0.36204377,-0.45070765
0.36190262,-0.45076666
0.36176146,-0.45082564
0.36162029,-0.45088457
0.36147910,-0.45094348
0.36133791,-0.45100235
0.36119670,-0.45106118
0.36105549,-0.45111998
0.36091426,-0.45117874
0.36077302,-0.45123747
0.36063177,-0.45129616
0.36049051,-0.45135482
0.36034924,-0.45141344
0.36020795,-0.45147202
0.36006666,-0.45153058
0.35992535,-0.45158909
0.35978403,-0.45164757
0.35964271,-0.45170602
0.35950137,-0.45176443
0.35936002,-0.45182280
0.35921865,-0.45188115
0.35907728,-0.45193945
0.35893590,-0.45199772
0.35879450,-0.45205595
0.35865309,-0.45211415
0.35851168,-0.45217232
0.35837025,-0.45223045
0.35822881,-0.45228854
0.35808736,-0.45234660
0.35794589,-0.45240462
0.35780442,-0.45246261
0.35766294,-0.45252057
0.35752144,-0.45257848
0.35737993,-0.45263637
0.35723841,-0.45269422
0.35709688,-0.45275203
0.35695534,-0.45280980
0.35681379,-0.45286755
0.35667223,-0.45292525
0.35653065,-0.45298293
0.35638907,-0.45304056
0.35624747,-0.45309816
0.35610586,-0.45315573
0.35596425,-0.45321326
0.35582262,-0.45327076
0.35568097,-0.45332822
0.35553932,-0.45338564
0.35539766,-0.45344303
0.35525598,-0.45350039
0.35511430,-0.45355771
0.35497260,-0.45361499
0.35483089,-0.45367224
0.35468917,-0.45372946
0.35454744,-0.45378664
0.35440570,-0.45384378
0.35426395,-0.45390089
0.35412218,-0.45395796
0.35398041,-0.45401500
0.35383862,-0.45407200
0.35369682,-0.45412897
0.35355501,-0.45418591
0.35341319,-0.45424280
0.35327136,-0.45429967
0.35312952,-0.45435649
0.35298766,-0.45441328
0.35284580,-0.45447004
0.35270392,-0.45452676
0.35256204,-0.45458345
0.35242014,-0.45464010
0.35227823,-0.45469672
0.35213631,-0.45475330
0.35199438,-0.45480984
0.35185243,-0.45486635
0.35171048,-0.45492283
0.35156851,-0.45497927
0.35142654,-0.45503568
0.35128455,-0.45509205
0.35114255,-0.45514838
0.35100054,-0.45520468
0.35085852,-0.45526094
0.35071649,-0.45531717
0.35057444,-0.45537337
0.35043239,-0.45542953
0.35029032,-0.45548565
0.35014824,-0.45554174
0.35000616,-0.45559779
0.34986406,-0.45565381
0.34972195,-0.45570979
0.34957982,-0.45576574
0.34943769,-0.45582165
0.34929555,-0.45587753
0.34915339,-0.45593337
0.34901122,-0.45598918
0.34886905,-0.45604495
0.34872686,-0.45610069
0.34858466,-0.45615639
0.34844245,-0.45621205
0.34830022,-0.45626768
0.34815799,-0.45632328
0.34801574,-0.45637884
0.34787349,-0.45643437
0.34773122,-0.45648986
0.34758894,-0.45654531
0.34744665,-0.45660073
0.34730435,-0.45665612
0.34716204,-0.45671146
0.34701972,-0.45676678
0.34687738,-0.45682206
0.34673504,-0.45687730
0.34659268,-0.45693251
0.34645031,-0.45698768
0.34630793,-0.45704282
0.34616554,-0.45709793
0.34602314,-0.45715299
0.34588073,-0.45720803
0.34573831,-0.45726302
0.34559587,-0.45731799
0.34545342,-0.45737291
0.34531097,-0.45742781
0.34516850,-0.45748266
0.34502602,-0.45753748
0.34488353,-0.45759227
0.34474103,-0.45764702
0.34459851,-0.45770174
0.34445599,-0.45775642
0.34431345,-0.45781106
0.34417091,-0.45786567
0.34402835,-0.45792025
0.34388578,-0.45797479
0.34374320,-0.45802930
0.34360061,-0.45808377
0.34345801,-0.45813820
0.34331539,-0.45819260
0.34317277,-0.45824696
0.34303013,-0.45830129
0.34288748,-0.45835559
0.34274483,-0.45840984
0.34260216,-0.45846407
0.34245948,-0.45851826
0.34231678,-0.45857241
0.34217408,-0.45862653
0.34203137,-0.45868061
0.34188864,-0.45873466
0.34174590,-0.45878867
0.34160316,-0.45884265
0.34146040,-0.45889659
0.34131763,-0.45895050
0.34117485,-0.45900437
0.34103205,-0.45905820
0.34088925,-0.45911201
0.34074643,-0.45916577
0.34060361,-0.45921950
0.34046077,-0.45927320
0.34031792,-0.45932686
0.34017506,-0.45938048
0.34003219,-0.45943407
0.33988931,-0.45948763
0.33974642,-0.45954115
0.33960351,-0.45959463
0.33946060,-0.45964808
0.33931767,-0.45970150
0.33917473,-0.45975487
0.33903178,-0.45980822
0.33888882,-0.45986153
0.33874585,-0.45991480
0.33860287,-0.45996804
0.33845987,-0.46002124
0.33831687,-0.46007441
0.33817385,-0.46012754
0.33803083,-0.46018064
0.33788779,-0.46023370
0.33774474,-0.46028673
0.33760168,-0.46033972
0.33745861,-0.46039268
0.33731552,-0.46044560
0.33717243,-0.46049849
0.33702932,-0.46055134
0.33688621,-0.46060415
0.33674308,-0.46065693
0.33659994,-0.46070968
0.33645679,-0.46076239
0.33631363,-0.46081506
0.33617045,-0.46086770
0.33602727,-0.46092031
0.33588408,-0.46097288
0.33574087,-0.46102541
0.33559765,-0.46107791
0.33545442,-0.46113038
0.33531118,-0.46118281
0.33516793,-0.46123520
0.33502467,-0.46128756
0.33488140,-0.46133988
0.33473811,-0.46139217
0.33459482,-0.46144442
0.33445151,-0.46149664
0.33430819,-0.46154882
0.33416486,-0.46160097
0.33402152,-0.46165308
0.33387817,-0.46170516
0.33373481,-0.46175720
0.33359144,-0.46180921
0.33344805,-0.46186118
0.33330466,-0.46191312
0.33316125,-0.46196502
0.33301783,-0.46201688
0.33287440,-0.46206871
0.33273096,-0.46212051
0.33258751,-0.46217227
0.33244404,-0.46222400
0.33230057,-0.46227569
0.33215708,-0.46232734
0.33201359,-0.46237896
0.33187008,-0.46243054
0.33172656,-0.46248209
0.33158303,-0.46253361
0.33143949,-0.46258509
0.33129594,-0.46263653
0.33115237,-0.46268794
0.33100880,-0.46273931
0.33086521,-0.46279065
0.33072161,-0.46284195
0.33057801,-0.46289322
0.33043439,-0.46294445
0.33029076,-0.46299565
0.33014711,-0.46304681
0.33000346,-0.46309794
0.32985980,-0.46314903
0.32971612,-0.46320009
0.32957243,-0.46325111
0.32942874,-0.46330210
0.32928503,-0.46335305
0.32914131,-0.46340396
0.32899757,-0.46345484
0.32885383,-0.46350569
0.32871008,-0.46355650
0.32856631,-0.46360727
0.32842254,-0.46365801
0.32827875,-0.46370872
0.32813495,-0.46375939
0.32799114,-0.46381002
0.32784732,-0.46386062
0.32770349,-0.46391119
0.32755965,-0.46396171
0.32741579,-0.46401221
0.32727193,-0.46406267
0.32712805,-0.46411309
0.32698416,-0.46416348
0.32684026,-0.46421383
0.32669635,-0.46426415
0.32655243,-0.46431443
0.32640850,-0.46436468
0.32626455,-0.46441489
0.32612060,-0.46446507
0.32597663,-0.46451521
0.32583266,-0.46456532
0.32568867,-0.46461539
0.32554467,-0.46466542
0.32540066,-0.46471542
0.32525663,-0.46476539
0.32511260,-0.46481532
0.32496856,-0.46486522
0.32482450,-0.46491508
0.32468043,-0.46496490
0.32453636,-0.46501469
0.32439227,-0.46506445
0.32424817,-0.46511417
0.32410406,-0.46516385
0.32395993,-0.46521350
0.32381580,-0.46526311
0.32367165,-0.46531269
0.32352750,-0.46536224
0.32338333,-0.46541174
0.32323915,-0.46546122
0.32309496,-0.46551066
0.32295076,-0.46556006
0.32280655,-0.46560943
0.32266233,-0.46565876
0.32251809,-0.46570806
0.32237385,-0.46575732
0.32222959,-0.46580654
0.32208532,-0.46585574
0.32194104,-0.46590489
0.32179675,-0.46595401
0.32165245,-0.46600310
0.32150814,-0.46605215
0.32136381,-0.46610117
0.32121948,-0.46615015
0.32107513,-0.46619909
0.32093078,-0.46624800
0.32078641,-0.46629688
0.32064203,-0.46634572
0.32049764,-0.46639452
0.32035323,-0.46644329
0.32020882,-0.46649203
0.32006440,-0.46654073
0.31991996,-0.46658939
0.31977551,-0.46663802
0.31963106,-0.46668661
0.31948659,-0.46673517
0.31934211,-0.46678369
0.31919762,-0.46683218
0.31905311,-0.46688063
0.31890860,-0.46692905
0.31876407,-0.46697743
0.31861954,-0.46702578
0.31847499,-0.46707409
0.31833043,-0.46712237
0.31818586,-0.46717061
0.31804128,-0.46721882
0.31789669,-0.46726699
0.31775209,-0.46731513
0.31760747,-0.46736323
0.31746285,-0.46741129
0.31731821,-0.46745932
0.31717356,-0.46750732
0.31702890,-0.46755528
0.31688423,-0.46760320
0.31673955,-0.46765109
0.31659486,-0.46769895
0.31645015,-0.46774677
0.31630544,-0.46779455
0.31616071,-0.46784230
0.31601597,-0.46789001
0.31587123,-0.46793769
0.31572647,-0.46798534
0.31558170,-0.46803294
0.31543691,-0.46808052
0.31529212,-0.46812805
0.31514732,-0.46817556
0.31500250,-0.46822303
0.31485767,-0.46827046
0.31471284,-0.46831785
0.31456799,-0.46836522
0.31442313,-0.46841254
0.31427825,-0.46845984
0.31413337,-0.46850709
0.31398848,-0.46855431
0.31384357,-0.46860150
0.31369866,-0.46864865
0.31355373,-0.46869577
0.31340879,-0.46874285
0.31326384,-0.46878989
0.31311888,-0.46883690
0.31297391,-0.46888388
0.31282892,-0.46893082
0.31268393,-0.46897772
0.31253892,-0.46902459
0.31239391,-0.46907142
0.31224888,-0.46911822
0.31210384,-0.46916499
0.31195879,-0.46921172
0.31181373,-0.46925841
0.31166866,-0.46930507
0.31152357,-0.46935169
0.31137848,-0.46939828
0.31123337,-0.46944483
0.31108825,-0.46949135
0.31094312,-0.46953783
0.31079799,-0.46958428
0.31065283,-0.46963069
0.31050767,-0.46967707
0.31036250,-0.46972341
0.31021731,-0.46976971
0.31007212,-0.46981599
0.30992691,-0.46986222
0.30978169,-0.46990842
0.30963646,-0.46995459
0.30949122,-0.47000072
0.30934597,-0.47004681
0.30920071,-0.47009287
0.30905544,-0.47013890
0.30891015,-0.47018489
0.30876486,-0.47023084
0.30861955,-0.47027676
0.30847423,-0.47032265
0.30832890,-0.47036849
0.30818356,-0.47041431
0.30803821,-0.47046009
0.30789284,-0.47050583
0.30774747,-0.47055154
0.30760208,-0.47059721
0.30745669,-0.47064285
0.30731128,-0.47068845
0.30716586,-0.47073402
0.30702043,-0.47077955
0.30687499,-0.47082505
0.30672953,-0.47087051
0.30658407,-0.47091594
0.30643860,-0.47096133
0.30629311,-0.47100669
0.30614761,-0.47105201
0.30600210,-0.47109729
0.30585658,-0.47114254
0.30571105,-0.47118776
0.30556551,-0.47123294
0.30541996,-0.47127808
0.30527439,-0.47132319
0.30512882,-0.47136827
0.30498323,-0.47141331
0.30483763,-0.47145831
0.30469202,-0.47150328
0.30454640,-0.47154822
0.30440077,-0.47159312
0.30425513,-0.47163798
0.30410947,-0.47168281
0.30396381,-0.47172760
0.30381813,-0.47177236
0.30367245,-0.47181708
0.30352675,-0.47186177
0.30338104,-0.47190642
0.30323532,-0.47195104
0.30308958,-0.47199562
0.30294384,-0.47204017
0.30279809,-0.47208468
0.30265232,-0.47212916
0.30250654,-0.47217360
0.30236076,-0.47221801
0.30221496,-0.47226238
0.30206915,-0.47230671
0.30192332,-0.47235101
0.30177749,-0.47239528
0.30163165,-0.47243951
0.30148579,-0.47248370
0.30133993,-0.47252786
0.30119405,-0.47257199
0.30104816,-0.47261608
0.30090226,-0.47266013
0.30075635,-0.47270415
0.30061043,-0.47274814
0.30046449,-0.47279208
0.30031855,-0.47283600
0.30017259,-0.47287988
0.30002663,-0.47292372
0.29988065,-0.47296753
